gene	family	description
OR5AU1	OR	"olfactory receptor, family 5, subfamily AU, member 1"
OR5AV1P	OR	"olfactory receptor, family 5, subfamily AV, member 1 pseudogene"
OR5AW1P	OR	"olfactory receptor, family 5, subfamily AW, member 1 pseudogene"
OR5AX1	OR	"olfactory receptor, family 5, subfamily AX, member 1"
OR5AY1	OR	"olfactory receptor, family 5, subfamily AY, member 1"
OR5AZ1P	OR	"olfactory receptor, family 5, subfamily AZ, member 1 pseudogene"
OR5B1P	OR	"olfactory receptor, family 5, subfamily B, member 1 pseudogene"
OR5B2	OR	"olfactory receptor, family 5, subfamily B, member 2"
OR5B3	OR	"olfactory receptor, family 5, subfamily B, member 3"
OR5B10P	OR	"olfactory receptor, family 5, subfamily B, member 10 pseudogene"
OR5B12	OR	"olfactory receptor, family 5, subfamily B, member 12"
OR5B15P	OR	"olfactory receptor, family 5, subfamily B, member 15 pseudogene"
OR5B17	OR	"olfactory receptor, family 5, subfamily B, member 17"
OR5B19P	OR	"olfactory receptor, family 5, subfamily B, member 19 pseudogene"
OR5B21	OR	"olfactory receptor, family 5, subfamily B, member 21"
OR5BA1P	OR	"olfactory receptor, family 5, subfamily BA, member 1 pseudogene"
OR5BB1P	OR	"olfactory receptor, family 5, subfamily BB, member 1 pseudogene"
OR5BC1P	OR	"olfactory receptor, family 5, subfamily BC, member 1 pseudogene"
OR5BD1P	OR	"olfactory receptor, family 5, subfamily BD, member 1 pseudogene"
OR5BE1P	OR	"olfactory receptor, family 5, subfamily BE, member 1 pseudogene"
OR5BF1	OR	"olfactory receptor, family 5, subfamily BF, member 1"
OR5BG1P	OR	"olfactory receptor, family 5, subfamily BG, member 1 pseudogene"
OR5BH1P	OR	"olfactory receptor, family 5, subfamily BH, member 1 pseudogene"
OR5BJ1P	OR	"olfactory receptor, family 5, subfamily BJ, member 1 pseudogene"
OR5BK1P	OR	"olfactory receptor, family 5, subfamily BK, member 1 pseudogene"
OR5BL1P	OR	"olfactory receptor, family 5, subfamily BL, member 1 pseudogene"
OR5BM1P	OR	"olfactory receptor, family 5, subfamily BM, member 1 pseudogene"
OR5BN1P	OR	"olfactory receptor, family 5, subfamily BN, member 1 pseudogene"
OR5BN2P	OR	"olfactory receptor, family 5, subfamily BN, member 2 pseudogene"
OR5BP1P	OR	"olfactory receptor, family 5, subfamily BP, member 1 pseudogene"
OR5BQ1P	OR	"olfactory receptor, family 5, subfamily BQ, member 1 pseudogene"
OR5BR1P	OR	"olfactory receptor, family 5, subfamily BR, member 1 pseudogene"
OR5BS1P	OR	"olfactory receptor, family 5, subfamily BS, member 1 pseudogene"
OR5BT1P	OR	"olfactory receptor, family 5, subfamily BT, member 1 pseudogene"
OR5BU1	OR	"olfactory receptor, family 5, subfamily BU, member 1"
OR5C1	OR	"olfactory receptor, family 5, subfamily C, member 1"
OR5D2P	OR	"olfactory receptor, family 5, subfamily D, member 2 pseudogene"
OR5D3P	OR	"olfactory receptor, family 5, subfamily D, member 3 pseudogene"
OR5D11P	OR	"olfactory receptor, family 5, subfamily D, member 11 pseudogene"
OR5D13	OR	"olfactory receptor, family 5, subfamily D, member 13"
OR5D14	OR	"olfactory receptor, family 5, subfamily D, member 14"
OR5D15P	OR	"olfactory receptor, family 5, subfamily D, member 15 pseudogene"
OR5D16	OR	"olfactory receptor, family 5, subfamily D, member 16"
OR5D17P	OR	"olfactory receptor, family 5, subfamily D, member 17 pseudogene"
OR5D18	OR	"olfactory receptor, family 5, subfamily D, member 18"
OR5E1P	OR	"olfactory receptor, family 5, subfamily E, member 1 pseudogene"
OR5F1	OR	"olfactory receptor, family 5, subfamily F, member 1"
OR5F2P	OR	"olfactory receptor, family 5, subfamily F, member 2 pseudogene"
OR5G1P	OR	"olfactory receptor, family 5, subfamily G, member 1 pseudogene"
OR5G3P	OR	"olfactory receptor, family 5, subfamily G, member 3 pseudogene"
OR5G4P	OR	"olfactory receptor, family 5, subfamily G, member 4 pseudogene"
OR5G5P	OR	"olfactory receptor, family 5, subfamily G, member 5 pseudogene"
OR5H1	OR	"olfactory receptor, family 5, subfamily H, member 1"
OR5H2	OR	"olfactory receptor, family 5, subfamily H, member 2"
OR5H3P	OR	"olfactory receptor, family 5, subfamily H, member 3 pseudogene"
OR5H4P	OR	"olfactory receptor, family 5, subfamily H, member 4 pseudogene"
OR5H5P	OR	"olfactory receptor, family 5, subfamily H, member 5 pseudogene"
OR5H6	OR	"olfactory receptor, family 5, subfamily H, member 6"
OR5H7P	OR	"olfactory receptor, family 5, subfamily H, member 7 pseudogene"
OR5H8P	OR	"olfactory receptor, family 5, subfamily H, member 8 pseudogene"
OR5H14	OR	"olfactory receptor, family 5, subfamily H, member 14"
OR5H15	OR	"olfactory receptor, family 5, subfamily H, member 15"
OR5I1	OR	"olfactory receptor, family 5, subfamily I, member 1"
OR5J1P	OR	"olfactory receptor, family 5, subfamily J, member 1 pseudogene"
OR5J2	OR	"olfactory receptor, family 5, subfamily J, member 2"
OR5J6P	OR	"olfactory receptor, family 5, subfamily J, member 6 pseudogene"
OR5J7P	OR	"olfactory receptor, family 5, subfamily J, member 7 pseudogene"
OR5K1	OR	"olfactory receptor, family 5, subfamily K, member 1"
OR5K2	OR	"olfactory receptor, family 5, subfamily K, member 2"
OR5K3	OR	"olfactory receptor, family 5, subfamily K, member 3"
OR5K4	OR	"olfactory receptor, family 5, subfamily K, member 4"
OR5L1	OR	"olfactory receptor, family 5, subfamily L, member 1"
OR5L2	OR	"olfactory receptor, family 5, subfamily L, member 2"
OR5M1	OR	"olfactory receptor, family 5, subfamily M, member 1"
OR5M2P	OR	"olfactory receptor, family 5, subfamily M, member 2 pseudogene"
OR5M3	OR	"olfactory receptor, family 5, subfamily M, member 3"
OR5M4P	OR	"olfactory receptor, family 5, subfamily M, member 4 pseudogene"
OR5M5P	OR	"olfactory receptor, family 5, subfamily M, member 5 pseudogene"
OR5M6P	OR	"olfactory receptor, family 5, subfamily M, member 6 pseudogene"
OR5M7P	OR	"olfactory receptor, family 5, subfamily M, member 7 pseudogene"
OR5M8	OR	"olfactory receptor, family 5, subfamily M, member 8"
OR5M9	OR	"olfactory receptor, family 5, subfamily M, member 9"
OR5M10	OR	"olfactory receptor, family 5, subfamily M, member 10"
OR5M11	OR	"olfactory receptor, family 5, subfamily M, member 11"
OR5M12P	OR	"olfactory receptor, family 5, subfamily M, member 12 pseudogene"
OR5M13P	OR	"olfactory receptor, family 5, subfamily M, member 13 pseudogene"
OR5M14P	OR	"olfactory receptor, family 5, subfamily M, member 14 pseudogene"
OR5P1P	OR	"olfactory receptor, family 5, subfamily P, member 1 pseudogene"
OR5P2	OR	"olfactory receptor, family 5, subfamily P, member 2"
OR5P3	OR	"olfactory receptor, family 5, subfamily P, member 3"
OR5P4P	OR	"olfactory receptor, family 5, subfamily P, member 4 pseudogene"
OR5R1	OR	"olfactory receptor, family 5, subfamily R, member 1"
OR5S1P	OR	"olfactory receptor, family 5, subfamily S, member 1 pseudogene"
OR5T1	OR	"olfactory receptor, family 5, subfamily T, member 1"
OR5T2	OR	"olfactory receptor, family 5, subfamily T, member 2"
OR5T3	OR	"olfactory receptor, family 5, subfamily T, member 3"
OR5U1	OR	"olfactory receptor, family 5, subfamily U, member 1"
OR5V1	OR	"olfactory receptor, family 5, subfamily V, member 1"
OR5W1P	OR	"olfactory receptor, family 5, subfamily W, member 1 pseudogene"
OR5W2	OR	"olfactory receptor, family 5, subfamily W, member 2"
OR6A2	OR	"olfactory receptor, family 6, subfamily A, member 2"
OR6B1	OR	"olfactory receptor, family 6, subfamily B, member 1"
OR6B2	OR	"olfactory receptor, family 6, subfamily B, member 2"
OR6B3	OR	"olfactory receptor, family 6, subfamily B, member 3"
OR6C1	OR	"olfactory receptor, family 6, subfamily C, member 1"
OR6C2	OR	"olfactory receptor, family 6, subfamily C, member 2"
OR6C3	OR	"olfactory receptor, family 6, subfamily C, member 3"
OR6C4	OR	"olfactory receptor, family 6, subfamily C, member 4"
OR6C5P	OR	"olfactory receptor, family 6, subfamily C, member 5 pseudogene"
OR6C6	OR	"olfactory receptor, family 6, subfamily C, member 6"
OR6C7P	OR	"olfactory receptor, family 6, subfamily C, member 7 pseudogene"
OR6C64P	OR	"olfactory receptor, family 6, subfamily C, member 64 pseudogene"
OR6C65	OR	"olfactory receptor, family 6, subfamily C, member 65"
OR6C66P	OR	"olfactory receptor, family 6, subfamily C, member 66 pseudogene"
OR6C68	OR	"olfactory receptor, family 6, subfamily C, member 68"
OR6C69P	OR	"olfactory receptor, family 6, subfamily C, member 69 pseudogene"
OR6C70	OR	"olfactory receptor, family 6, subfamily C, member 70"
OR6C71P	OR	"olfactory receptor, family 6, subfamily C, member 71 pseudogene"
OR6C72P	OR	"olfactory receptor, family 6, subfamily C, member 72 pseudogene"
OR6C73P	OR	"olfactory receptor, family 6, subfamily C, member 73 pseudogene"
OR6C74	OR	"olfactory receptor, family 6, subfamily C, member 74"
OR6C75	OR	"olfactory receptor, family 6, subfamily C, member 75"
OR6C76	OR	"olfactory receptor, family 6, subfamily C, member 76"
OR6D1P	OR	"olfactory receptor, family 6, subfamily D, member 1 pseudogene"
OR6E1P	OR	"olfactory receptor, family 6, subfamily E, member 1 pseudogene"
OR6F1	OR	"olfactory receptor, family 6, subfamily F, member 1"
OR6J1	OR	"olfactory receptor, family 6, subfamily J, member 1"
OR6K1P	OR	"olfactory receptor, family 6, subfamily K, member 1 pseudogene"
OR6K2	OR	"olfactory receptor, family 6, subfamily K, member 2"
OR6K3	OR	"olfactory receptor, family 6, subfamily K, member 3"
OR6K4P	OR	"olfactory receptor, family 6, subfamily K, member 4 pseudogene"
OR6K5P	OR	"olfactory receptor, family 6, subfamily K, member 5 pseudogene"
OR6K6	OR	"olfactory receptor, family 6, subfamily K, member 6"
OR6L1P	OR	"olfactory receptor, family 6, subfamily L, member 1 pseudogene"
OR6L2P	OR	"olfactory receptor, family 6, subfamily L, member 2 pseudogene"
OR6M1	OR	"olfactory receptor, family 6, subfamily M, member 1"
OR6M2P	OR	"olfactory receptor, family 6, subfamily M, member 2 pseudogene"
OR6M3P	OR	"olfactory receptor, family 6, subfamily M, member 3 pseudogene"
OR6N1	OR	"olfactory receptor, family 6, subfamily N, member 1"
OR6N2	OR	"olfactory receptor, family 6, subfamily N, member 2"
OR6P1	OR	"olfactory receptor, family 6, subfamily P, member 1"
OR6Q1	OR	"olfactory receptor, family 6, subfamily Q, member 1"
OR6R1P	OR	"olfactory receptor, family 6, subfamily R, member 1 pseudogene"
OR6R2P	OR	"olfactory receptor, family 6, subfamily R, member 2 pseudogene"
OR6S1	OR	"olfactory receptor, family 6, subfamily S, member 1"
OR6T1	OR	"olfactory receptor, family 6, subfamily T, member 1"
OR6U2P	OR	"olfactory receptor, family 6, subfamily U, member 2 pseudogene"
OR6V1	OR	"olfactory receptor, family 6, subfamily V, member 1"
OR6W1P	OR	"olfactory receptor, family 6, subfamily W, member 1 pseudogene"
OR6X1	OR	"olfactory receptor, family 6, subfamily X, member 1"
OR6Y1	OR	"olfactory receptor, family 6, subfamily Y, member 1"
OR7A1P	OR	"olfactory receptor, family 7, subfamily A, member 1 pseudogene"
OR7A2P	OR	"olfactory receptor, family 7, subfamily A, member 2 pseudogene"
OR7A3P	OR	"olfactory receptor, family 7, subfamily A, member 3 pseudogene"
OR7A5	OR	"olfactory receptor, family 7, subfamily A, member 5"
OR7A8P	OR	"olfactory receptor, family 7, subfamily A, member 8 pseudogene"
OR7A10	OR	"olfactory receptor, family 7, subfamily A, member 10"
OR7A11P	OR	"olfactory receptor, family 7, subfamily A, member 11 pseudogene"
OR7A15P	OR	"olfactory receptor, family 7, subfamily A, member 15 pseudogene"
OR7A17	OR	"olfactory receptor, family 7, subfamily A, member 17"
OR7A18P	OR	"olfactory receptor, family 7, subfamily A, member 18 pseudogene"
OR7A19P	OR	"olfactory receptor, family 7, subfamily A, member 19 pseudogene"
OR7C1	OR	"olfactory receptor, family 7, subfamily C, member 1"
OR7C2	OR	"olfactory receptor, family 7, subfamily C, member 2"
OR7D1P	OR	"olfactory receptor, family 7, subfamily D, member 1 pseudogene"
OR7D2	OR	"olfactory receptor, family 7, subfamily D, member 2"
OR7D4	OR	"olfactory receptor, family 7, subfamily D, member 4"
OR7D11P	OR	"olfactory receptor, family 7, subfamily D, member 11 pseudogene"
OR7E1P	OR	"olfactory receptor, family 7, subfamily E, member 1 pseudogene"
OR7E2P	OR	"olfactory receptor, family 7, subfamily E, member 2 pseudogene"
OR7E4P	OR	"olfactory receptor, family 7, subfamily E, member 4 pseudogene"
OR7E5P	OR	"olfactory receptor, family 7, subfamily E, member 5 pseudogene"
OR7E7P	OR	"olfactory receptor, family 7, subfamily E, member 7 pseudogene"
OR7E8P	OR	"olfactory receptor, family 7, subfamily E, member 8 pseudogene"
OR7E10P	OR	"olfactory receptor, family 7, subfamily E, member 10 pseudogene"
OR7E11P	OR	"olfactory receptor, family 7, subfamily E, member 11 pseudogene"
OR7E12P	OR	"olfactory receptor, family 7, subfamily E, member 12 pseudogene"
OR7E13P	OR	"olfactory receptor, family 7, subfamily E, member 13 pseudogene"
OR7E14P	OR	"olfactory receptor, family 7, subfamily E, member 14 pseudogene"
OR7E15P	OR	"olfactory receptor, family 7, subfamily E, member 15 pseudogene"
OR7E16P	OR	"olfactory receptor, family 7, subfamily E, member 16 pseudogene"
OR7E18P	OR	"olfactory receptor, family 7, subfamily E, member 18 pseudogene"
OR7E19P	OR	"olfactory receptor, family 7, subfamily E, member 19 pseudogene"
OR7E21P	OR	"olfactory receptor, family 7, subfamily E, member 21 pseudogene"
OR7E22P	OR	"olfactory receptor, family 7, subfamily E, member 22 pseudogene"
OR7E23P	OR	"olfactory receptor, family 7, subfamily E, member 23 pseudogene"
OR7E24	OR	"olfactory receptor, family 7, subfamily E, member 24"
OR7E25P	OR	"olfactory receptor, family 7, subfamily E, member 25 pseudogene"
OR7E26P	OR	"olfactory receptor, family 7, subfamily E, member 26 pseudogene"
OR7E28P	OR	"olfactory receptor, family 7, subfamily E, member 28 pseudogene"
OR7E29P	OR	"olfactory receptor, family 7, subfamily E, member 29 pseudogene"
OR7E31P	OR	"olfactory receptor, family 7, subfamily E, member 31 pseudogene"
OR7E33P	OR	"olfactory receptor, family 7, subfamily E, member 33 pseudogene"
OR7E35P	OR	"olfactory receptor, family 7, subfamily E, member 35 pseudogene"
OR7E36P	OR	"olfactory receptor, family 7, subfamily E, member 36 pseudogene"
OR7E37P	OR	"olfactory receptor, family 7, subfamily E, member 37 pseudogene"
OR7E38P	OR	"olfactory receptor, family 7, subfamily E, member 38 pseudogene"
OR7E39P	OR	"olfactory receptor, family 7, subfamily E, member 39 pseudogene"
OR7E41P	OR	"olfactory receptor, family 7, subfamily E, member 41 pseudogene"
OR7E43P	OR	"olfactory receptor, family 7, subfamily E, member 43 pseudogene"
OR7E46P	OR	"olfactory receptor, family 7, subfamily E, member 46 pseudogene"
OR7E47P	OR	"olfactory receptor, family 7, subfamily E, member 47 pseudogene"
OR7E53P	OR	"olfactory receptor, family 7, subfamily E, member 53 pseudogene"
OR7E55P	OR	"olfactory receptor, family 7, subfamily E, member 55 pseudogene"
OR7E59P	OR	"olfactory receptor, family 7, subfamily E, member 59 pseudogene"
OR7E62P	OR	"olfactory receptor, family 7, subfamily E, member 62 pseudogene"
OR7E66P	OR	"olfactory receptor, family 7, subfamily E, member 66 pseudogene"
OR7E83P	OR	"olfactory receptor, family 7, subfamily E, member 83 pseudogene"
OR7E84P	OR	"olfactory receptor, family 7, subfamily E, member 84 pseudogene"
OR7E85P	OR	"olfactory receptor, family 7, subfamily E, member 85 pseudogene"
OR7E86P	OR	"olfactory receptor, family 7, subfamily E, member 86 pseudogene"
OR7E87P	OR	"olfactory receptor, family 7, subfamily E, member 87 pseudogene"
OR7E89P	OR	"olfactory receptor, family 7, subfamily E, member 89 pseudogene"
OR7E90P	OR	"olfactory receptor, family 7, subfamily E, member 90 pseudogene"
OR7E91P	OR	"olfactory receptor, family 7, subfamily E, member 91 pseudogene"
OR7E93P	OR	"olfactory receptor, family 7, subfamily E, member 93 pseudogene"
OR7E94P	OR	"olfactory receptor, family 7, subfamily E, member 94 pseudogene"
OR7E96P	OR	"olfactory receptor, family 7, subfamily E, member 96 pseudogene"
OR7E97P	OR	"olfactory receptor, family 7, subfamily E, member 97 pseudogene"
OR7E99P	OR	"olfactory receptor, family 7, subfamily E, member 99 pseudogene"
OR7E100P	OR	"olfactory receptor, family 7, subfamily E, member 100 pseudogene"
OR7E101P	OR	"olfactory receptor, family 7, subfamily E, member 101 pseudogene"
OR7E102P	OR	"olfactory receptor, family 7, subfamily E, member 102 pseudogene"
OR7E104P	OR	"olfactory receptor, family 7, subfamily E, member 104 pseudogene"
OR7E105P	OR	"olfactory receptor, family 7, subfamily E, member 105 pseudogene"
OR7E106P	OR	"olfactory receptor, family 7, subfamily E, member 106 pseudogene"
OR7E108P	OR	"olfactory receptor, family 7, subfamily E, member 108 pseudogene"
OR7E109P	OR	"olfactory receptor, family 7, subfamily E, member 109 pseudogene"
OR7E110P	OR	"olfactory receptor, family 7, subfamily E, member 110 pseudogene"
OR7E111P	OR	"olfactory receptor, family 7, subfamily E, member 111 pseudogene"
OR7E115P	OR	"olfactory receptor, family 7, subfamily E, member 115 pseudogene"
OR7E116P	OR	"olfactory receptor, family 7, subfamily E, member 116 pseudogene"
OR7E117P	OR	"olfactory receptor, family 7, subfamily E, member 117 pseudogene"
OR7E121P	OR	"olfactory receptor, family 7, subfamily E, member 121 pseudogene"
OR7E122P	OR	"olfactory receptor, family 7, subfamily E, member 122 pseudogene"
OR7E125P	OR	"olfactory receptor, family 7, subfamily E, member 125 pseudogene"
OR7E126P	OR	"olfactory receptor, family 7, subfamily E, member 126 pseudogene"
OR7E128P	OR	"olfactory receptor, family 7, subfamily E, member 128 pseudogene"
OR7E129P	OR	"olfactory receptor, family 7, subfamily E, member 129 pseudogene"
OR7E130P	OR	"olfactory receptor, family 7, subfamily E, member 130 pseudogene"
OR7E136P	OR	"olfactory receptor, family 7, subfamily E, member 136 pseudogene"
OR7E140P	OR	"olfactory receptor, family 7, subfamily E, member 140 pseudogene"
OR7E145P	OR	"olfactory receptor, family 7, subfamily E, member 145 pseudogene"
OR7E148P	OR	"olfactory receptor, family 7, subfamily E, member 148 pseudogene"
OR7E149P	OR	"olfactory receptor, family 7, subfamily E, member 149 pseudogene"
OR7E154P	OR	"olfactory receptor, family 7, subfamily E, member 154 pseudogene"
OR7E155P	OR	"olfactory receptor, family 7, subfamily E, member 155 pseudogene"
OR7E156P	OR	"olfactory receptor, family 7, subfamily E, member 156 pseudogene"
OR7E157P	OR	"olfactory receptor, family 7, subfamily E, member 157 pseudogene"
OR7E158P	OR	"olfactory receptor, family 7, subfamily E, member 158 pseudogene"
OR7E159P	OR	"olfactory receptor, family 7, subfamily E, member 159 pseudogene"
OR7E160P	OR	"olfactory receptor, family 7, subfamily E, member 160 pseudogene"
OR7E161P	OR	"olfactory receptor, family 7, subfamily E, member 161 pseudogene"
OR7E162P	OR	"olfactory receptor, family 7, subfamily E, member 162 pseudogene"
OR7G1	OR	"olfactory receptor, family 7, subfamily G, member 1"
OR7G2	OR	"olfactory receptor, family 7, subfamily G, member 2"
OR7G3	OR	"olfactory receptor, family 7, subfamily G, member 3"
OR7G15P	OR	"olfactory receptor, family 7, subfamily G, member 15 pseudogene"
OR7H1P	OR	"olfactory receptor, family 7, subfamily H, member 1 pseudogene"
OR7H2P	OR	"olfactory receptor, family 7, subfamily H, member 2 pseudogene"
OR7K1P	OR	"olfactory receptor, family 7, subfamily K, member 1 pseudogene"
OR7L1P	OR	"olfactory receptor, family 7, subfamily L, member 1 pseudogene"
OR7M1P	OR	"olfactory receptor, family 7, subfamily M, member 1 pseudogene"
OR8A1	OR	"olfactory receptor, family 8, subfamily A, member 1"
OR8A2P	OR	"olfactory receptor, family 8, subfamily A, member 2 pseudogene"
OR8A3P	OR	"olfactory receptor, family 8, subfamily A, member 3 pseudogene"
OR8B1P	OR	"olfactory receptor, family 8, subfamily B, member 1 pseudogene"
OR8B2	OR	"olfactory receptor, family 8, subfamily B, member 2"
OR8B3	OR	"olfactory receptor, family 8, subfamily B, member 3"
OR8B4	OR	"olfactory receptor, family 8, subfamily B, member 4"
OR8B5P	OR	"olfactory receptor, family 8, subfamily B, member 5 pseudogene"
OR8B6P	OR	"olfactory receptor, family 8, subfamily B, member 6 pseudogene"
OR8B7P	OR	"olfactory receptor, family 8, subfamily B, member 7 pseudogene"
OR8B8	OR	"olfactory receptor, family 8, subfamily B, member 8"
OR8B9P	OR	"olfactory receptor, family 8, subfamily B, member 9 pseudogene"
OR8B10P	OR	"olfactory receptor, family 8, subfamily B, member 10 pseudogene"
OR8B12	OR	"olfactory receptor, family 8, subfamily B, member 12"
OR8C1P	OR	"olfactory receptor, family 8, subfamily C, member 1 pseudogene"
OR8D1	OR	"olfactory receptor, family 8, subfamily D, member 1"
OR8D2	OR	"olfactory receptor, family 8, subfamily D, member 2"
OR8D4	OR	"olfactory receptor, family 8, subfamily D, member 4"
OR8F1P	OR	"olfactory receptor, family 8, subfamily F, member 1 pseudogene"
OR8G1	OR	"olfactory receptor, family 8, subfamily G, member 1"
OR8G2	OR	"olfactory receptor, family 8, subfamily G, member 2"
OR8G3P	OR	"olfactory receptor, family 8, subfamily G, member 3 pseudogene"
OR8G5	OR	"olfactory receptor, family 8, subfamily G, member 5"
OR8G7P	OR	"olfactory receptor, family 8, subfamily G, member 7 pseudogene"
OR8H1	OR	"olfactory receptor, family 8, subfamily H, member 1"
OR8H2	OR	"olfactory receptor, family 8, subfamily H, member 2"
OR8H3	OR	"olfactory receptor, family 8, subfamily H, member 3"
OR8I1P	OR	"olfactory receptor, family 8, subfamily I, member 1 pseudogene"
OR8I2	OR	"olfactory receptor, family 8, subfamily I, member 2"
OR8I4P	OR	"olfactory receptor, family 8, subfamily I, member 4 pseudogene"
OR8J1	OR	"olfactory receptor, family 8, subfamily J, member 1"
OR8J2P	OR	"olfactory receptor, family 8, subfamily J, member 2 pseudogene"
OR8J3	OR	"olfactory receptor, family 8, subfamily J, member 3"
OR8K1	OR	"olfactory receptor, family 8, subfamily K, member 1"
OR8K2P	OR	"olfactory receptor, family 8, subfamily K, member 2 pseudogene"
OR8K3	OR	"olfactory receptor, family 8, subfamily K, member 3"
OR8K4P	OR	"olfactory receptor, family 8, subfamily K, member 4 pseudogene"
OR8K5	OR	"olfactory receptor, family 8, subfamily K, member 5"
OR8L1P	OR	"olfactory receptor, family 8, subfamily L, member 1 pseudogene"
OR8Q1P	OR	"olfactory receptor, family 8, subfamily Q, member 1 pseudogene"
OR8R1P	OR	"olfactory receptor, family 8, subfamily R, member 1 pseudogene"
OR8S1	OR	"olfactory receptor, family 8, subfamily S, member 1"
OR8S21P	OR	"olfactory receptor, family 8, subfamily S, member 21 pseudogene"
OR8T1P	OR	"olfactory receptor, family 8, subfamily T, member 1 pseudogene"
OR8U1	OR	"olfactory receptor, family 8, subfamily U, member 1"
OR8U8	OR	"olfactory receptor, family 8, subfamily U, member 8"
OR8U9	OR	"olfactory receptor, family 8, subfamily U, member 9"
OR8V1P	OR	"olfactory receptor, family 8, subfamily V, member 1 pseudogene"
OR8X1P	OR	"olfactory receptor, family 8, subfamily X, member 1 pseudogene"
OR9A1P	OR	"olfactory receptor, family 9, subfamily A, member 1 pseudogene"
OR9A2	OR	"olfactory receptor, family 9, subfamily A, member 2"
OR9A3P	OR	"olfactory receptor, family 9, subfamily A, member 3 pseudogene"
OR9A4	OR	"olfactory receptor, family 9, subfamily A, member 4"
OR9G1	OR	"olfactory receptor, family 9, subfamily G, member 1"
OR9G2P	OR	"olfactory receptor, family 9, subfamily G, member 2 pseudogene"
OR9G3P	OR	"olfactory receptor, family 9, subfamily G, member 3 pseudogene"
OR9G4	OR	"olfactory receptor, family 9, subfamily G, member 4"
OR9G9	OR	"olfactory receptor, family 9, subfamily G, member 9"
OR9H1P	OR	"olfactory receptor, family 9, subfamily H, member 1 pseudogene"
OR9I1	OR	"olfactory receptor, family 9, subfamily I, member 1"
OR9I2P	OR	"olfactory receptor, family 9, subfamily I, member 2 pseudogene"
OR9I3P	OR	"olfactory receptor, family 9, subfamily I, member 3 pseudogene"
OR9K1P	OR	"olfactory receptor, family 9, subfamily K, member 1 pseudogene"
OR9K2	OR	"olfactory receptor, family 9, subfamily K, member 2"
OR9L1P	OR	"olfactory receptor, family 9, subfamily L, member 1 pseudogene"
OR9M1P	OR	"olfactory receptor, family 9, subfamily M, member 1 pseudogene"
OR9N1P	OR	"olfactory receptor, family 9, subfamily N, member 1 pseudogene"
OR9P1P	OR	"olfactory receptor, family 9, subfamily P, member 1 pseudogene"
OR9Q1	OR	"olfactory receptor, family 9, subfamily Q, member 1"
OR9Q2	OR	"olfactory receptor, family 9, subfamily Q, member 2"
OR9R1P	OR	"olfactory receptor, family 9, subfamily R, member 1 pseudogene"
OR10A2	OR	"olfactory receptor, family 10, subfamily A, member 2"
OR10A3	OR	"olfactory receptor, family 10, subfamily A, member 3"
OR10A4	OR	"olfactory receptor, family 10, subfamily A, member 4"
OR10A5	OR	"olfactory receptor, family 10, subfamily A, member 5"
OR10A6	OR	"olfactory receptor, family 10, subfamily A, member 6"
OR10A7	OR	"olfactory receptor, family 10, subfamily A, member 7"
OR10AA1P	OR	"olfactory receptor, family 10, subfamily AA, member 1 pseudogene"
OR10AB1P	OR	"olfactory receptor, family 10, subfamily AB, member 1 pseudogene"
OR10AC1P	OR	"olfactory receptor, family 10, subfamily AC, member 1 pseudogene"
OR10AD1	OR	"olfactory receptor, family 10, subfamily AD, member 1"
OR10AE1P	OR	"olfactory receptor, family 10, subfamily AE, member 1 pseudogene"
OR10AE3P	OR	"olfactory receptor, family 10, subfamily AE, member 3 pseudogene"
OR10AF1P	OR	"olfactory receptor, family 10, subfamily AF, member 1 pseudogene"
OR10AG1	OR	"olfactory receptor, family 10, subfamily AG, member 1"
OR10AH1P	OR	"olfactory receptor, family 10, subfamily AH, member 1 pseudogene"
OR10AK1P	OR	"olfactory receptor, family 10, subfamily AK, member 1 pseudogene"
OR10B1P	OR	"olfactory receptor, family 10, subfamily B, member 1 pseudogene"
OR10C1	OR	"olfactory receptor, family 10, subfamily C, member 1"
OR10D1P	OR	"olfactory receptor, family 10, subfamily D, member 1 pseudogene"
OR10D3P	OR	"olfactory receptor, family 10, subfamily D, member 3 pseudogene"
OR10D4P	OR	"olfactory receptor, family 10, subfamily D, member 4 pseudogene"
OR10D5P	OR	"olfactory receptor, family 10, subfamily D, member 5 pseudogene"
OR10G1P	OR	"olfactory receptor, family 10, subfamily G, member 1 pseudogene"
OR10G2	OR	"olfactory receptor, family 10, subfamily G, member 2"
OR10G3	OR	"olfactory receptor, family 10, subfamily G, member 3"
OR10G4	OR	"olfactory receptor, family 10, subfamily G, member 4"
OR10G5P	OR	"olfactory receptor, family 10, subfamily G, member 5 pseudogene"
OR10G6	OR	"olfactory receptor, family 10, subfamily G, member 6"
OR10G7	OR	"olfactory receptor, family 10, subfamily G, member 7"
OR10G8	OR	"olfactory receptor, family 10, subfamily G, member 8"
OR10G9	OR	"olfactory receptor, family 10, subfamily G, member 9"
OR10H1	OR	"olfactory receptor, family 10, subfamily H, member 1"
OR10H2	OR	"olfactory receptor, family 10, subfamily H, member 2"
OR10H3	OR	"olfactory receptor, family 10, subfamily H, member 3"
OR10H4	OR	"olfactory receptor, family 10, subfamily H, member 4"
OR10H5	OR	"olfactory receptor, family 10, subfamily H, member 5"
OR10J1	OR	"olfactory receptor, family 10, subfamily J, member 1"
OR10J2P	OR	"olfactory receptor, family 10, subfamily J, member 2 pseudogene"
